iter	Passed	Remaining
0	134	26764
1	274	27185
2	422	27761
3	576	28226
4	721	28131
5	873	28251
6	1026	28301
7	1171	28114
8	1320	28019
9	1467	27888
10	1614	27735
11	1758	27549
12	1908	27450
13	2053	27288
14	2199	27121
15	2344	26958
16	2488	26788
17	2631	26607
18	2774	26427
19	2924	26321
20	3072	26185
21	3219	26045
22	3361	25867
23	3506	25710
24	3652	25567
25	3796	25409
26	3943	25269
27	4086	25104
28	4229	24941
29	4373	24781
30	4519	24639
31	4664	24487
32	4806	24322
33	4951	24174
34	5094	24015
35	5235	23851
36	5375	23683
37	5518	23526
38	5660	23365
39	5802	23208
40	5945	23058
41	6093	22924
42	6256	22845
43	6398	22687
44	6542	22534
45	6685	22381
46	6837	22258
47	6995	22151
48	7144	22016
49	7291	21875
50	7435	21722
51	7581	21577
52	7725	21427
53	7873	21288
54	8022	21149
55	8171	21013
56	8319	20871
57	8465	20726
58	8615	20588
59	8761	20443
60	8909	20301
61	9069	20187
62	9225	20061
63	9375	19922
64	9526	19786
65	9679	19652
66	9831	19516
67	9976	19367
68	10127	19227
69	10274	19081
70	10417	18927
71	10562	18777
72	10712	18637
73	10858	18489
74	11005	18342
75	11149	18190
76	11295	18044
77	11441	17895
78	11582	17741
79	11729	17593
80	11875	17447
81	12023	17301
82	12167	17152
83	12321	17015
84	12488	16895
85	12640	16756
86	12791	16614
87	12940	16469
88	13093	16329
89	13244	16187
90	13395	16045
91	13546	15902
92	13695	15757
93	13849	15617
94	13996	15469
95	14145	15324
96	14293	15178
97	14440	15029
98	14593	14887
99	14780	14780
100	14958	14661
101	15121	14528
102	15293	14402
103	15453	14265
104	15602	14116
105	15751	13968
106	15910	13828
107	16059	13680
108	16206	13530
109	16350	13377
110	16496	13227
111	16645	13078
112	16801	12935
113	16963	12796
114	17119	12653
115	17274	12509
116	17425	12361
117	17579	12215
118	17726	12066
119	17884	11923
120	18049	11784
121	18205	11639
122	18352	11488
123	18504	11341
124	18657	11194
125	18805	11044
126	18952	10893
127	19097	10742
128	19245	10592
129	19396	10444
130	19549	10297
131	19702	10149
132	19852	10000
133	20001	9851
134	20157	9705
135	20305	9555
136	20452	9405
137	20611	9260
138	20778	9118
139	20952	8979
140	21108	8832
141	21263	8685
142	21418	8537
143	21575	8390
144	21731	8242
145	21891	8096
146	22050	7950
147	22209	7803
148	22363	7654
149	22516	7505
150	22671	7356
151	22823	7207
152	22973	7057
153	23125	6907
154	23282	6759
155	23431	6609
156	23581	6458
157	23734	6309
158	23890	6160
159	24043	6010
160	24207	5863
161	24357	5713
162	24502	5561
163	24649	5410
164	24794	5259
165	24945	5109
166	25105	4960
167	25268	4813
168	25428	4664
169	25581	4514
170	25733	4364
171	25868	4211
172	26004	4058
173	26146	3906
174	26301	3757
175	26453	3607
176	26605	3457
177	26754	3306
178	26905	3156
179	27051	3005
180	27194	2854
181	27342	2704
182	27498	2554
183	27651	2404
184	27801	2254
185	27950	2103
186	28098	1953
187	28250	1803
188	28414	1653
189	28602	1505
190	28759	1355
191	28920	1205
192	29065	1054
193	29214	903
194	29362	752
195	29533	602
196	29697	452
197	29856	301
198	30020	150
199	30174	0
