iter	MultiClass
0	1.459283674
1	1.346955567
2	1.266402441
3	1.200042359
4	1.144488043
5	1.094064583
6	1.05576461
7	1.01844754
8	0.9874775163
9	0.9605630247
10	0.9415994017
11	0.9208625876
12	0.9043745381
13	0.8906404218
14	0.8786143399
15	0.8650867292
16	0.8539135298
17	0.845639632
18	0.8366957552
19	0.826421724
20	0.8195777032
21	0.8125356542
22	0.8035313021
23	0.7969763056
24	0.7905649139
25	0.7844063594
26	0.7801971617
27	0.7747076251
28	0.7701412839
29	0.767898023
30	0.765339459
31	0.7638154986
32	0.7616222477
33	0.7583053732
34	0.7563819523
35	0.7541064782
36	0.7503733049
37	0.7485189782
38	0.7465883358
39	0.7451311211
40	0.7428995362
41	0.7409104961
42	0.7401016805
43	0.7393534677
44	0.7367313425
45	0.7354871634
46	0.7347003325
47	0.7333847512
48	0.7315352222
49	0.7300801999
50	0.7288173515
51	0.727380466
52	0.7257767141
53	0.7241568672
54	0.7229903892
55	0.7218525949
56	0.7205610011
57	0.7186711215
58	0.7168937937
59	0.7157953764
60	0.7148297526
61	0.7134402782
62	0.7119380787
63	0.7109772033
64	0.710329038
65	0.7092490972
66	0.7082702141
67	0.7064914898
68	0.705883355
69	0.7052751883
70	0.7046053209
71	0.7026132072
72	0.7020358103
73	0.7014102886
74	0.7002571738
75	0.699138343
76	0.6977637825
77	0.6966368316
78	0.6948420046
79	0.6940770329
80	0.693068127
81	0.6924832644
82	0.6918842989
83	0.6912336927
84	0.6909589001
85	0.6900678505
86	0.6895018454
87	0.6884947127
88	0.6878864026
89	0.6865513664
90	0.6854797065
91	0.6842205228
92	0.6836269522
93	0.6829663401
94	0.6819788432
95	0.6812217139
96	0.6807399635
97	0.680221421
98	0.6794574057
99	0.6783975711
100	0.6776209277
101	0.677160723
102	0.6764613349
103	0.6754668226
104	0.6747786653
105	0.6737645588
106	0.6733887924
107	0.6728999152
108	0.6725547944
109	0.6715321302
110	0.6711276332
111	0.670521027
112	0.6696007303
113	0.6691090714
114	0.6686301508
115	0.6680182714
116	0.6676731901
117	0.6668021894
118	0.6663159221
119	0.665687972
120	0.6650257804
121	0.6642809579
122	0.6634608066
123	0.6631555297
124	0.6624569142
125	0.6619264858
126	0.6614835434
127	0.6600993366
128	0.6595138895
129	0.6586266203
130	0.6583694483
131	0.6579529859
132	0.6573142882
133	0.6567869229
134	0.6562868151
135	0.6555723442
136	0.6548153893
137	0.6540993257
138	0.6535381854
139	0.6526396978
140	0.6521029914
141	0.6516545089
142	0.6513161818
143	0.6506758078
144	0.6500152148
145	0.6492893619
146	0.6489236204
147	0.6479679332
148	0.6471642196
149	0.6466362375
150	0.6459068718
151	0.645016852
152	0.6439276437
153	0.6434367907
154	0.6431429221
155	0.642507791
156	0.6420675403
157	0.6414732009
158	0.6405229091
159	0.6394400477
160	0.6389229567
161	0.6380867368
162	0.6373333771
163	0.6368709647
164	0.6362432449
165	0.6357526692
166	0.6352713394
167	0.6348905133
168	0.6343121716
169	0.6336451507
170	0.6332197712
171	0.6327064366
172	0.6318723355
173	0.6312780242
174	0.630918451
175	0.6303304888
176	0.6298941609
177	0.6293907385
178	0.6284148742
179	0.6276208164
180	0.6271631059
181	0.6264599085
182	0.6256302541
183	0.6254132454
184	0.625062962
185	0.6245807952
186	0.6241458601
187	0.6237076035
188	0.6232586565
189	0.6230144495
190	0.6227104456
191	0.6224067728
192	0.6221049663
193	0.6217393134
194	0.6213700911
195	0.6205772993
196	0.6201878344
197	0.6188884753
198	0.618069115
199	0.6171721678
200	0.616812611
201	0.6158737193
202	0.615385216
203	0.6149624837
204	0.6146760213
205	0.6137233364
206	0.6134466214
207	0.6130296469
208	0.6128368484
209	0.6123339938
210	0.612168268
211	0.6119274791
212	0.611583447
213	0.6111574108
214	0.6102862056
215	0.6095924427
216	0.6089003117
217	0.6085896964
218	0.6082673029
219	0.60753926
220	0.607015879
221	0.6064419003
222	0.6061367844
223	0.6054057199
224	0.6050266052
225	0.6045784847
226	0.6043371777
227	0.6039882162
228	0.6036754776
229	0.603240225
230	0.6030092294
231	0.6026464984
232	0.602487424
233	0.6021060405
234	0.6017777181
235	0.6010945195
236	0.6008100977
237	0.6006210256
238	0.6001635106
239	0.5999440791
240	0.5994988861
241	0.5990995903
242	0.5987057007
243	0.5981700907
244	0.5976368279
245	0.597152341
246	0.5968859527
247	0.5966884461
248	0.5964058178
249	0.5961861198
250	0.5953665834
251	0.5951654081
252	0.5950319353
253	0.5948379297
254	0.5939897572
255	0.5937804694
256	0.5928338026
257	0.5922785817
258	0.5920440902
259	0.5918100242
260	0.5908906212
261	0.5907636534
262	0.590454943
263	0.5901267069
264	0.5898971267
265	0.5897018006
266	0.5892396915
267	0.5888997684
268	0.5882548195
269	0.5879357628
270	0.5878079584
271	0.5873026046
272	0.587100624
273	0.586872576
274	0.586221353
275	0.5857653481
276	0.5855314947
277	0.5852667847
278	0.5844489473
279	0.5841341199
280	0.583808296
281	0.5833766414
282	0.5831645165
283	0.5828355095
284	0.5824874637
285	0.5822114683
286	0.5816043986
287	0.5810717473
288	0.5809374684
289	0.5807117948
290	0.5800592966
291	0.5798926664
292	0.5795734975
293	0.5793839014
294	0.5791629524
295	0.5788232213
296	0.5786657917
297	0.5783966387
298	0.5781402826
299	0.577757167
300	0.5769884304
301	0.5764786916
302	0.5760062727
303	0.5756979961
304	0.5750187991
305	0.5748412427
306	0.5746831213
307	0.5743155659
308	0.5741751376
309	0.5739633428
310	0.5733574087
311	0.5731864288
312	0.5727636845
313	0.5724592838
314	0.5721689482
315	0.5720261686
316	0.5718911877
317	0.5715061614
318	0.5712113933
319	0.5710673588
320	0.5706614372
321	0.5705093049
322	0.569994786
323	0.569406231
324	0.5692312587
325	0.568514592
326	0.5680118103
327	0.5677215535
328	0.5672786848
329	0.5670317347
330	0.5668888874
331	0.5665706461
332	0.5662629989
333	0.5660010231
334	0.5657257361
335	0.5655673761
336	0.5653216599
337	0.5650898514
338	0.5646031143
339	0.5642564136
340	0.563816974
341	0.5637033341
342	0.5635441806
343	0.5632867027
344	0.5629277978
345	0.562768951
346	0.5623819243
347	0.562147594
348	0.5618640683
349	0.5618028596
350	0.5612337919
351	0.5611214591
352	0.5608590288
353	0.5604905538
354	0.5602202343
355	0.5598628755
356	0.5596672389
357	0.5593410195
358	0.5592081328
359	0.5589166303
360	0.5585638211
361	0.5581769652
362	0.5578468959
363	0.5576359987
364	0.5575095597
365	0.5571501719
366	0.5569410982
367	0.5564659488
368	0.5562442844
369	0.5557705121
370	0.5554835332
371	0.5551696406
372	0.554888368
373	0.5546001902
374	0.5542838209
375	0.554006083
376	0.5537075668
377	0.5534752095
378	0.5530741413
379	0.5527143458
380	0.5523293613
381	0.5520893032
382	0.5516515372
383	0.5513170918
384	0.5507946514
385	0.5504204904
386	0.5502211987
387	0.5499311136
388	0.5497547052
389	0.5495536592
390	0.5493243403
391	0.548888677
392	0.5487389533
393	0.5483868833
394	0.5478590099
395	0.547475678
396	0.5473059789
397	0.5469965062
398	0.5465072285
399	0.5461308824
400	0.545551939
401	0.5453549825
402	0.5449754912
403	0.5447234584
404	0.5445727603
405	0.5442191807
406	0.5440626209
407	0.5437536011
408	0.5433674968
409	0.5431074904
410	0.542843075
411	0.5424283283
412	0.5423158152
413	0.5421078694
414	0.541987131
415	0.5418548337
416	0.541741023
417	0.5416154942
418	0.5414459622
419	0.5413183461
420	0.5410171995
421	0.5409082367
422	0.5407891506
423	0.5404725302
424	0.5402308914
425	0.5400119839
426	0.5396997926
427	0.5392231998
428	0.5390431712
429	0.5388443731
430	0.5386983388
431	0.5385187379
432	0.538373339
433	0.5382767842
434	0.5381584597
435	0.5378548955
436	0.5375213947
437	0.5371283205
438	0.5369686054
439	0.5367859518
440	0.5365117305
441	0.5362342862
442	0.5358965686
443	0.5358220933
444	0.5356759598
445	0.535548635
446	0.5351856736
447	0.5346535033
448	0.5344206413
449	0.5342622589
450	0.5339866407
451	0.533841121
452	0.5336992748
453	0.5334840086
454	0.5330595187
455	0.5328416671
456	0.5326905369
457	0.5323946501
458	0.5320857914
459	0.531968362
460	0.5316146071
461	0.5315427415
462	0.5314560105
463	0.5312453976
464	0.5310070864
465	0.5308848787
466	0.5307887663
467	0.5305561906
468	0.5303651453
469	0.5301410555
470	0.529974421
471	0.5298692091
472	0.5296778137
473	0.5295460226
474	0.5294276094
475	0.5292215414
476	0.5290671746
477	0.5288966124
478	0.528658836
479	0.5285274941
480	0.5280797949
481	0.5277892105
482	0.5276062947
483	0.527139201
484	0.5270092652
485	0.5267359296
486	0.5264036098
487	0.5262547253
488	0.5261419314
489	0.5259372316
490	0.5258779511
491	0.5255518674
492	0.5251968092
493	0.5248228453
494	0.5245767842
495	0.5243968781
496	0.5242348078
497	0.5240075602
498	0.523747182
499	0.5232458726
500	0.5230723081
501	0.5229015375
502	0.52274371
503	0.5225853534
504	0.5224799362
505	0.5222096267
506	0.5218922079
507	0.5217323955
508	0.5216303973
509	0.52136027
510	0.5210855167
511	0.5207119572
512	0.5203774999
513	0.5202417173
514	0.5200913574
515	0.5198325017
516	0.5196170895
517	0.5193584588
518	0.5191772876
519	0.5188291754
520	0.5187411557
521	0.5186215761
522	0.5184139641
523	0.5182817696
524	0.5181608453
525	0.517881418
526	0.5176629254
527	0.5173461627
528	0.5172661287
529	0.5170839847
530	0.5165964255
531	0.5164127569
532	0.5162444978
533	0.5160933499
534	0.5158496968
535	0.5154053224
536	0.5151180143
537	0.5148348212
538	0.5144928873
539	0.5142776946
540	0.5140260509
541	0.5137740738
542	0.5135671909
543	0.5132645143
544	0.5130478767
545	0.5127378994
546	0.5125590955
547	0.5124124073
548	0.5121963187
549	0.5121353837
550	0.5120285496
551	0.5117644487
552	0.5113949714
553	0.5111333793
554	0.5109074558
555	0.5106810993
556	0.5104700925
557	0.510360416
558	0.5102385611
559	0.5100953584
560	0.5099542202
561	0.5097253538
562	0.5094020759
563	0.509296863
564	0.5090966363
565	0.5090035249
566	0.5089232808
567	0.5087302946
568	0.5085670611
569	0.5082225875
570	0.5081061124
571	0.5080073129
572	0.5078068163
573	0.5075281964
574	0.5074378192
575	0.507212944
576	0.5070268533
577	0.5068673644
578	0.5065919716
579	0.5061455991
580	0.5058028172
581	0.5056998209
582	0.5056443921
583	0.505508189
584	0.5052392586
585	0.5051507069
586	0.5049303892
587	0.5047915178
588	0.5045587373
589	0.5042915012
590	0.5040367173
591	0.5037675693
592	0.5036118687
593	0.5034992296
594	0.5031331777
595	0.5028685977
596	0.5027025751
597	0.5025488379
598	0.502260409
599	0.5020688135
600	0.5019457603
601	0.5017700127
602	0.5016281242
603	0.5014675852
604	0.5011520336
605	0.5009940034
606	0.5008505379
607	0.5004587411
608	0.5003628362
609	0.500179492
610	0.5000838074
611	0.499823354
612	0.4995039054
613	0.4994143397
614	0.4993418067
615	0.4991987312
616	0.4990770606
617	0.4989715851
618	0.4988021597
619	0.4986854481
620	0.4985110001
621	0.4983326302
622	0.4981867488
623	0.4980908929
624	0.4979966896
625	0.4978267834
626	0.4977470035
627	0.4974371204
628	0.4969844831
629	0.4968366652
630	0.4964929742
631	0.4963348222
632	0.4962329365
633	0.4958686189
634	0.4955194843
635	0.495315575
636	0.4951791612
637	0.4950211088
638	0.4947072261
639	0.4944919256
640	0.4943691336
641	0.4942482299
642	0.494079708
643	0.4939814768
644	0.4938258412
645	0.4936185291
646	0.4934524003
647	0.4932887547
648	0.4930753837
649	0.4929559954
650	0.4927527977
651	0.4925284957
652	0.4922249469
653	0.4918783904
654	0.4914218378
655	0.4912322201
656	0.4911359159
657	0.4908165969
658	0.4906134531
659	0.4904703246
660	0.4903150175
661	0.4900543935
662	0.4899155178
663	0.4896023516
664	0.4894180428
665	0.4892112112
666	0.4891180835
667	0.4889693767
668	0.4886985697
669	0.4885644126
670	0.4884322857
671	0.4883906787
672	0.4883116139
673	0.4880883219
674	0.4879745528
675	0.4879050935
676	0.4877830447
677	0.4875187276
678	0.4873170527
679	0.4871431789
680	0.4870205645
681	0.4868149615
682	0.4867303833
683	0.4864538698
684	0.4863482781
685	0.4862705319
686	0.4861022252
687	0.4860500719
688	0.485950363
689	0.4857738813
690	0.4855708196
691	0.4854653277
692	0.4853525095
693	0.4852042823
694	0.4849124689
695	0.484700969
696	0.4845621341
697	0.4844119615
698	0.484282873
699	0.4842175828
700	0.4839746165
701	0.4836050059
702	0.4834156986
703	0.4831881992
704	0.4830776441
705	0.4829073337
706	0.4826591985
707	0.4824354517
708	0.482282342
709	0.4821341562
710	0.4820167172
711	0.481826881
712	0.4817664049
713	0.4815915717
714	0.4814795517
715	0.4814216546
716	0.4811398805
717	0.4810780868
718	0.4809359208
719	0.480866248
720	0.4806760537
721	0.4804548776
722	0.4804205888
723	0.4803431931
724	0.4802223248
725	0.4799964051
726	0.479861188
727	0.4797869282
728	0.4795821323
729	0.4794768222
730	0.4793811117
731	0.4791328085
732	0.4789743705
733	0.478829709
734	0.4786406158
735	0.4784805002
736	0.4783765903
737	0.4782163055
738	0.4779820587
739	0.4778710214
740	0.4777163335
741	0.4775131043
742	0.4774509299
743	0.4773391074
744	0.4770988603
745	0.4770086944
746	0.4768658641
747	0.4766790347
748	0.4766028675
749	0.4763409159
750	0.4761950159
751	0.4760709819
752	0.4759726096
753	0.4758920355
754	0.4757144449
755	0.4756287964
756	0.475539738
757	0.475413755
758	0.4751604779
759	0.4750069201
760	0.474755056
761	0.4745890748
762	0.4743659176
763	0.4741598853
764	0.4741133743
765	0.4740300109
766	0.4739074217
767	0.4737404108
768	0.4734636631
769	0.4733062227
770	0.4732145871
771	0.4731582941
772	0.4728407717
773	0.4727890637
774	0.4727230074
775	0.4725120639
776	0.4722972393
777	0.4721190009
778	0.4719654102
779	0.4718254516
780	0.4716193929
781	0.4714570837
782	0.4713908992
783	0.4713597703
784	0.4712491917
785	0.4710792637
786	0.4710029786
787	0.4708103755
788	0.4707155969
