iter	Passed	Remaining
0	6	6950
1	13	6492
2	19	6497
3	25	6360
4	31	6257
5	36	6111
6	42	6033
7	48	6064
8	54	6033
9	60	6021
10	66	6009
11	71	5913
12	77	5879
13	83	5873
14	89	5850
15	95	5845
16	100	5816
17	105	5766
18	110	5729
19	116	5731
20	122	5717
21	128	5704
22	134	5712
23	140	5726
24	146	5732
25	152	5729
26	158	5727
27	165	5741
28	171	5733
29	177	5738
30	183	5735
31	189	5741
32	196	5748
33	202	5753
34	208	5750
35	215	5767
36	221	5762
37	227	5756
38	232	5738
39	238	5721
40	245	5737
41	250	5720
42	256	5717
43	263	5725
44	269	5713
45	275	5717
46	281	5707
47	287	5701
48	293	5701
49	299	5698
50	305	5682
51	311	5682
52	318	5688
53	324	5686
54	331	5691
55	337	5688
56	343	5684
57	349	5678
58	355	5670
59	361	5661
60	367	5652
61	372	5636
62	378	5629
63	383	5612
64	390	5617
65	396	5609
66	401	5597
67	407	5585
68	412	5570
69	418	5555
70	424	5550
71	429	5540
72	435	5527
73	440	5517
74	446	5511
75	452	5504
76	459	5502
77	464	5492
78	470	5482
79	476	5481
80	482	5470
81	487	5457
82	493	5453
83	498	5437
84	504	5430
85	511	5431
86	517	5430
87	523	5426
88	529	5421
89	535	5417
90	542	5414
91	547	5406
92	553	5397
93	559	5390
94	565	5383
95	570	5375
96	576	5362
97	581	5353
98	587	5347
99	592	5335
100	597	5320
101	603	5317
102	609	5310
103	615	5301
104	620	5291
105	626	5280
106	631	5270
107	637	5264
108	643	5260
109	649	5252
110	655	5247
111	660	5236
112	665	5227
113	671	5219
114	676	5207
115	682	5197
116	687	5188
117	692	5173
118	697	5164
119	703	5158
120	709	5155
121	715	5149
122	720	5137
123	725	5128
124	732	5125
125	738	5123
126	743	5112
127	749	5106
128	754	5094
129	759	5085
130	765	5078
131	770	5069
132	776	5060
133	781	5050
134	786	5042
135	792	5033
136	797	5026
137	803	5019
138	809	5012
139	815	5007
140	820	4998
141	825	4986
142	831	4981
143	836	4975
144	842	4966
145	848	4961
146	853	4954
147	859	4948
148	865	4941
149	870	4932
150	875	4923
151	882	4920
152	887	4912
153	893	4907
154	898	4900
155	904	4893
156	910	4886
157	915	4878
158	920	4869
159	926	4864
160	932	4856
161	938	4853
162	944	4849
163	950	4845
164	956	4839
165	961	4832
166	966	4822
167	971	4812
168	977	4805
169	982	4799
170	988	4792
171	994	4785
172	999	4780
173	1006	4775
174	1011	4769
175	1018	4767
176	1024	4763
177	1029	4756
178	1035	4751
179	1042	4748
180	1048	4744
181	1054	4737
182	1059	4730
183	1065	4723
184	1070	4714
185	1076	4710
186	1082	4705
187	1087	4698
188	1093	4692
189	1098	4684
190	1103	4676
191	1109	4668
192	1114	4661
193	1119	4652
194	1125	4645
195	1131	4641
196	1137	4634
197	1143	4631
198	1149	4625
199	1156	4624
200	1161	4617
201	1166	4609
202	1172	4603
203	1178	4597
204	1183	4588
205	1189	4583
206	1194	4575
207	1200	4569
208	1205	4562
209	1210	4555
210	1216	4547
211	1222	4543
212	1228	4538
213	1233	4531
214	1239	4527
215	1245	4521
216	1252	4518
217	1257	4512
218	1263	4507
219	1270	4502
220	1276	4497
221	1281	4490
222	1287	4485
223	1293	4480
224	1298	4473
225	1304	4466
226	1309	4457
227	1314	4451
228	1319	4444
229	1325	4437
230	1331	4431
231	1336	4425
232	1341	4417
233	1346	4409
234	1353	4404
235	1358	4397
236	1364	4391
237	1370	4387
238	1376	4383
239	1381	4375
240	1387	4369
241	1392	4362
242	1398	4355
243	1404	4350
244	1410	4345
245	1416	4340
246	1422	4335
247	1427	4328
248	1432	4321
249	1438	4314
250	1444	4310
251	1450	4303
252	1455	4297
253	1460	4289
254	1466	4284
255	1472	4279
256	1478	4274
257	1484	4268
258	1490	4263
259	1495	4257
260	1501	4251
261	1507	4245
262	1512	4238
263	1518	4233
264	1523	4225
265	1528	4219
266	1534	4213
267	1541	4209
268	1546	4203
269	1552	4197
270	1557	4190
271	1563	4184
272	1568	4177
273	1574	4172
274	1580	4167
275	1587	4163
276	1592	4155
277	1598	4150
278	1603	4144
279	1608	4137
280	1614	4131
281	1620	4125
282	1625	4119
283	1631	4113
284	1637	4107
285	1643	4102
286	1649	4097
287	1654	4090
288	1660	4084
289	1665	4078
290	1671	4073
291	1677	4067
292	1683	4062
293	1689	4057
294	1695	4051
295	1701	4045
296	1706	4039
297	1711	4032
298	1717	4026
299	1723	4020
300	1729	4016
301	1735	4010
302	1740	4004
303	1746	3999
304	1752	3992
305	1757	3985
306	1762	3979
307	1768	3973
308	1773	3967
309	1779	3960
310	1786	3957
311	1792	3951
312	1798	3946
313	1803	3940
314	1809	3934
315	1814	3927
316	1820	3921
317	1825	3916
318	1831	3909
319	1836	3903
320	1842	3898
321	1848	3892
322	1854	3886
323	1860	3880
324	1865	3873
325	1871	3870
326	1878	3865
327	1883	3858
328	1888	3852
329	1894	3846
330	1899	3839
331	1905	3833
332	1911	3828
333	1916	3821
334	1922	3816
335	1928	3810
336	1933	3804
337	1939	3799
338	1945	3793
339	1950	3786
340	1956	3780
341	1961	3773
342	1967	3767
343	1972	3761
