iter	RMSE
0	541.2829267
1	454.0402766
2	401.9460261
3	369.4200688
4	343.8578268
5	326.8210109
6	315.9237786
7	305.2313357
8	297.3717798
9	286.68829
10	278.0358571
11	271.4565498
12	268.6475347
13	265.2030136
14	254.1285776
15	246.9155595
16	238.7997822
17	236.0373749
18	232.7288357
19	229.0969073
20	223.4312265
21	218.1256758
22	216.3802025
23	214.5601718
24	210.6260408
25	205.9405244
26	204.2412235
27	196.5591367
28	193.910433
29	191.3557139
30	188.8445969
31	186.6767408
32	185.4050529
33	182.1382776
34	180.9835158
35	180.44755
36	178.3446371
37	176.3709098
38	176.2107555
39	174.8177831
40	174.2595384
41	173.7586642
42	170.0015003
43	168.5674664
44	165.8374051
45	163.466565
46	163.0466533
47	162.137101
48	160.8714864
49	159.0560005
50	158.8376618
51	157.643188
52	157.4609937
53	156.3928948
54	155.7554091
55	154.7297318
56	152.4001419
57	150.8886962
58	150.203937
59	149.3687523
60	147.2241553
61	145.7801873
62	144.1353351
63	143.9403111
64	142.6332248
65	141.4413867
66	140.3304497
67	138.2848238
68	138.226145
69	135.6451482
70	134.3838788
71	133.5608349
72	132.6038742
73	131.3407694
74	130.3519131
75	129.9462241
76	129.3887809
77	128.8217645
78	126.570975
79	126.1132997
80	124.8029952
81	123.7727279
82	122.717827
83	121.8777196
84	121.5648045
85	121.2239682
86	120.6097588
87	120.5363646
88	118.3891311
89	118.1325087
90	117.0624655
91	116.439713
92	116.0322711
93	115.5880335
94	115.011782
95	114.5777931
96	114.0088837
97	112.9135297
98	112.3407917
99	111.8187914
100	110.7154827
101	109.6838008
102	108.7218089
103	108.6757057
104	108.3029724
105	108.0504777
106	108.0155289
107	107.6747436
108	106.6646992
109	106.0419967
110	105.2219564
111	103.5928105
112	103.1944381
113	102.474923
114	101.8203286
115	101.1019252
116	100.5004012
117	100.1891387
118	100.1723364
119	99.96408728
120	98.72944764
121	98.35910554
122	97.28028594
123	96.74952135
124	96.50870408
125	95.81390318
126	95.31434783
127	94.96171524
128	94.79271513
129	94.0154205
130	93.73178399
131	93.56711995
132	92.82139173
133	92.15391773
134	91.86545113
135	91.54979725
136	91.016189
137	89.79521346
138	89.55752705
139	89.00520677
140	88.36124468
141	87.78350461
142	87.30648198
143	86.86884493
144	85.99190801
145	85.76081204
146	85.20019347
147	84.48800638
148	84.14435055
149	83.31639016
150	83.01533736
151	82.59868826
152	82.53190007
153	82.33745251
154	82.24853701
155	81.76315392
156	81.62973302
157	81.54850688
158	81.19690252
159	80.89801325
160	80.62027044
161	80.41167131
162	80.39841115
163	80.20620375
164	79.81018748
165	79.18641224
166	78.74273632
167	78.11773164
168	78.01086143
169	77.8108511
170	77.14003345
171	76.74423617
172	76.04928504
173	75.63209936
174	75.53851983
175	75.36084199
176	75.03616501
177	74.72690355
178	73.83396811
179	73.6263039
180	73.0290741
181	72.93049673
182	71.94654138
183	71.60148714
184	70.77587661
185	70.71773768
186	70.3578585
187	69.77152536
188	69.67053324
189	69.46144322
190	69.12210877
191	68.82880655
192	68.30641786
193	67.96177381
194	67.73132831
195	67.41472556
196	67.15222437
197	66.99311885
198	66.58333383
199	66.40433964
