iter	Passed	Remaining
0	165	32992
1	175	17421
2	186	12223
3	197	9663
4	208	8121
5	218	7080
6	231	6374
7	242	5811
8	253	5377
9	264	5030
10	276	4753
11	287	4508
12	295	4250
13	308	4092
14	323	3988
15	335	3853
16	346	3725
17	357	3612
18	370	3529
19	384	3457
20	395	3367
21	405	3283
22	417	3209
23	429	3152
24	442	3095
25	454	3043
26	467	2997
27	479	2946
28	490	2893
29	501	2840
30	512	2792
31	524	2751
32	535	2708
33	546	2668
34	557	2630
35	568	2591
36	581	2560
37	592	2524
38	604	2495
39	615	2462
40	627	2432
41	638	2402
42	650	2374
43	662	2350
44	674	2324
45	685	2295
46	696	2268
47	707	2241
48	718	2213
49	730	2191
50	742	2170
51	755	2149
52	766	2125
53	778	2104
54	792	2088
55	810	2084
56	831	2086
57	854	2091
58	871	2083
59	894	2086
60	911	2077
61	924	2056
62	935	2034
63	946	2010
64	957	1987
65	979	1988
66	1028	2041
67	1039	2018
68	1052	1997
69	1063	1974
70	1075	1953
71	1086	1931
72	1097	1909
73	1108	1887
74	1120	1867
75	1131	1846
76	1143	1826
77	1154	1806
78	1167	1788
79	1179	1768
80	1191	1750
81	1202	1729
82	1212	1709
83	1225	1692
84	1236	1672
85	1247	1654
86	1258	1635
87	1270	1617
88	1282	1599
89	1293	1581
90	1304	1562
91	1315	1544
92	1328	1527
93	1338	1509
94	1350	1492
95	1360	1473
96	1373	1458
97	1386	1442
98	1397	1425
99	1408	1408
100	1421	1392
101	1431	1375
102	1446	1361
103	1458	1345
104	1471	1331
105	1482	1315
106	1493	1298
107	1504	1282
108	1516	1266
109	1527	1250
110	1539	1234
111	1550	1218
112	1561	1202
113	1574	1187
114	1585	1171
115	1596	1156
116	1607	1140
117	1621	1126
118	1632	1111
119	1643	1095
120	1654	1080
121	1668	1066
122	1679	1051
123	1691	1036
124	1702	1021
125	1713	1006
126	1725	991
127	1736	976
128	1747	961
129	1760	947
130	1772	933
131	1784	919
132	1795	904
133	1806	889
134	1818	875
135	1829	860
136	1840	846
137	1851	831
138	1863	817
139	1876	804
140	1888	790
141	1901	776
142	1912	762
143	1924	748
144	1935	734
145	1946	720
146	1957	705
147	1969	692
148	1980	677
149	1991	663
150	2002	649
151	2014	636
152	2025	622
153	2038	609
154	2050	595
155	2062	581
156	2073	567
157	2085	554
158	2096	540
159	2107	526
160	2119	513
161	2130	499
162	2141	486
163	2152	472
164	2166	459
165	2179	446
166	2190	432
167	2201	419
168	2214	406
169	2224	392
170	2235	379
171	2247	365
172	2258	352
173	2269	339
174	2280	325
175	2291	312
176	2302	299
177	2313	285
178	2327	273
179	2338	259
180	2349	246
181	2361	233
182	2372	220
183	2386	207
184	2398	194
185	2410	181
186	2420	168
187	2433	155
188	2448	142
189	2462	129
190	2476	116
191	2490	103
192	2502	90
193	2516	77
194	2528	64
195	2541	51
196	2553	38
197	2566	25
198	2581	12
199	2595	0
